,Name,Lat,Lon,Numer_of_Guests,Price_per_night,Accommodation_Type,Star,labels,price_group,Final_Arrondissement,address
20,Appartement République near Marais & Canal,48.86877,2.3677,2,90,Entire Place,5,11,2,11,"29, Rue du Faubourg du Temple, Quartier de la Folie-Méricourt, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
21,Paris : superbe appartement,48.87113,2.3687,2,90,Entire Place,5,11,2,10,"École élémentaire Parmentier R, Rue Alibert, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
22,CANAL SAINT MARTIN - Cosy 1 bedroom for 2,48.87055,2.37164,2,90,Entire Place,5,11,2,11,"83 A, Rue du Faubourg du Temple, Quartier de la Folie-Méricourt, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
23,Charmant Loft avec vue !,48.88526,2.36683,2,90,Entire Place,5,11,2,19,"6, Rue du Département, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France"
24,Lovely nest Pigalle/Montmartre,48.87916,2.34294,2,90,Entire Place,5,12,2,9,"Coincas Michaël, Rue Louise-Émilie de La Tour d'Auvergne, Quartier de Rochechouart, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
25,MONTMARTRE - Cosy appartement,48.88507,2.33737,2,90,Entire Place,5,12,2,18,"Monop'Beauty Abbesses, 28, Rue des Abbesses, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
26,Charmant studio avec terrasse,48.88109,2.3465,2,90,Entire Place,5,12,2,9,"Condorcet - Trudaine, Rue Marguerite de Rochechouart, Quartier de Rochechouart, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
27,Charming Flat in Montmartre,48.89216,2.34235,2,90,Entire Place,5,12,2,18,"12, Rue de Trétaigne, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
28,In the heart of Montmartre,48.88637,2.34172,2,90,Entire Place,5,12,2,18,"Réservoir de Montmartre, Parvis du Sacré-Cœur, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
29,Grand appartement cosy proche de Montmartre,48.89147,2.34707,2,90,Entire Place,5,12,2,18,"Le Petit Panda, 32, Rue Simart, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
30,"Charming, bright & well-decorated flat Montmartre",48.89194,2.3319,2,90,Entire Place,5,12,2,18,"Rue Marcadet, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
31,Appartement Pigalle proche Montmartre,48.88181,2.33805,2,90,Entire Place,5,12,2,9,"10, Avenue Frochot, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
32,Appartement au coeur de Montmartre,48.886,2.337,2,90,Entire Place,5,12,2,18,"Guilo Guilo, Rue Garreau, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
33,A cosy nest in Paris   ^__^,48.8862,2.35678,2,90,Entire Place,5,12,2,18,"12, Rue Jean François Lépine, Quartier de la Goutte-d'Or, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
34,Cosy parisian appartment,48.89436,2.35193,2,90,Entire Place,5,12,2,18,"Collège Gérard Philipe, Rue des Amiraux, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
35,Luminous apartment - 2 people - Paris Montmartre,48.89015,2.34143,2,90,Entire Place,5,12,2,18,"5, Rue Nobel, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
36,Studio charmant à Paris Saint Germain des Près,48.85379,2.33569,2,90,Entire Place,5,15,2,6,"Palais du Cardinal, Passage de la Petite Boucherie, Quartier de Saint-Germain-des-Prés, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France"
37,Lovely studio in Latin Corner (Panthéon),48.8465,2.34782,2,90,Entire Place,5,15,2,5,"Église Saint-Étienne-du-Mont, Rue Clovis, Quartier de la Sorbonne, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France"
38,Pretty flat historical Paris center,48.852,2.334,2,90,Entire Place,5,15,2,6,"Au Plat d'Etain, 16, Rue Guisarde, Quartier de l'Odéon, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France"
39,Au coeur de Saint Germain des Prés,48.85099,2.33531,2,90,Entire Place,5,15,2,6,"Église Saint-Sulpice, 2, Rue Palatine, Quartier de l'Odéon, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France"
40,Modern flat in the Quartier Latin,48.83987,2.34977,2,90,Entire Place,5,15,2,5,"Le 137, Rue Mouffetard, Quartier du Jardin des Plantes, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France"
41,Luxurious and refined  Parisian appartment,48.84108,2.25848,2,90,Entire Place,5,17,2,16,"88b, Rue Michel-Ange, Quartier d'Auteuil, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75016, France"
43,Charmant appartement Paris 16ème - 34m2,48.84029,2.25696,2,90,Entire Place,5,17,2,16,"51, Rue du Général Delestraint, Quartier d'Auteuil, Paris 16e Arrondissement, Paris, Île-de-France, France métropolitaine, 75016, France"
44,Studio in front of the Eiffel tower,48.85658,2.29999,2,90,Entire Place,5,18,2,7,"Rue Barbey d'Aurevilly, Quartier du Gros-Caillou, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitaine, 75007, France"
46,Parc monceau 17 eme Le charme Haussmannien...,48.8803,2.30446,2,90,Entire Place,5,18,2,17,"25, Rue de Chazelles, Quartier de la Plaine-de-Monceau, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France"
47,"Le petit gîte de la Mezzanine, vue sur l’Arc !",48.87591,2.29739,2,90,Entire Place,5,18,2,17,"20, Avenue de Wagram, Quartier des Ternes, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France"
48,Paris. Romantic & authentic.,48.85943,2.3982,2,90,Entire Place,5,19,2,20,"Cimetière du Père-Lachaise, 8, Boulevard de Ménilmontant, Quartier du Père-Lachaise, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
49,Appartement parisien,48.86026,2.37987,2,90,Entire Place,5,19,2,11,"45, Rue Pétion, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
50,Joli appartement à Bastille,48.85589,2.37638,2,90,Entire Place,5,19,2,11,"Synagogue Don Isaac Abravanel, Rue de la Roquette, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
51,Superbe appartement lumineux au coeur du 11ème,48.859,2.382,2,90,Entire Place,5,19,2,11,"18, Rue Camille Desmoulins, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
52,Quiet and sunny top floor studio / Paris 11,48.85078,2.38749,2,90,Entire Place,5,19,2,11,"Résidence Maurice Ravel, Rue de Montreuil, Quartier Sainte-Marguerite, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
53,Joli 2 pièces dans un quartier-village de Paris,48.86683,2.39072,2,90,Entire Place,5,19,2,20,"Orange, Rue Élisa Borey, Quartier du Père-Lachaise, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
54,GuestReady - Bright and Charming Flat for 2 in Great Location,48.83722,2.39782,2,90,Entire Place,5,19,2,12,"Rue Claude Decaen, Quartier de Picpus, Paris 12e Arrondissement, Paris, Île-de-France, France métropolitaine, 75012, France"
55,PARIS 12-Métro DAUMESNIL Apt  2 Pers charme ancien,48.838,2.399,2,90,Entire Place,5,19,2,12,"14, Rue Tourneux, Quartier de Picpus, Paris 12e Arrondissement, Paris, Île-de-France, France métropolitaine, 75012, France"
56,MODERN AND BRIGHT APARTMENT IN PARIS,48.85225,2.40523,2,90,Entire Place,5,19,2,20,"Hôtel de l'Union, Rue du Volga, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
57,Cosy and bright apartment in Paris,48.85586,2.40419,2,90,Entire Place,5,19,2,20,"Cabinet médical & dentaire, Passage Dieu, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
58,"Paris, appartement de charme tout équipé",48.85567,2.38067,2,90,Entire Place,5,19,2,11,"École maternelle Godefroy Cavaignac, Rue Godefroy Cavaignac, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
59,Voltaire 2 pièces cuisine. 40 M2,48.858,2.381,2,90,Entire Place,5,19,2,11,"Martine Fleuriste, Place Léon Blum, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
60,"Studio 25m², Gare de Lyon Accor Arena Bastille",48.84404,2.37971,2,90,Entire Place,5,19,2,12,"SNCF - Centre Henri Lang, Rue Chrétien de Troyes, Quartier des Quinze-Vingts, Paris 12e Arrondissement, Paris, Île-de-France, France métropolitaine, 75012, France"
62,Cocoon près de Bastille Marais-Voltaire Léon Blum,48.8599,2.37864,2,90,Entire Place,5,19,2,11,"Breteuil, Avenue Parmentier, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
63,Paris : superbe appartement dans le 20 ème,48.85329,2.40353,2,90,Entire Place,5,19,2,20,"École polyvalente Champagne, Cité Champagne, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
64,Beau 2 pièces calme et lumineux à Nation,48.84927,2.39928,2,90,Entire Place,5,19,2,20,"D055, Boulevard de Charonne, Quartier de Charonne, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
65,"Charmant Studio 2 pers+1,  Paris bastille",48.85749,2.3734,2,90,Entire Place,5,1,2,11,"EPSILON France, Rue du Chemin Vert, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
66,Studio à la Bastille,48.8556,2.36868,2,90,Entire Place,5,1,2,11,"26, Boulevard Beaumarchais, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
67,Cosy and stylish apartment in the Marais,48.857,2.36,2,90,Entire Place,5,1,2,4,"Cecile Jeanne, Rue des Rosiers, Quartier Saint-Gervais, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France"
68,Charming studio- Quite- Marais,48.86027,2.36755,2,90,Entire Place,5,1,2,11,"Ben & Mam’s, 98, Boulevard Beaumarchais, Quartier Saint-Ambroise, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
69,"Appartement studio à Paris — Marais, Oberkampf.",48.86542,2.36887,2,90,Entire Place,5,1,2,11,"La Pharmacie, Rue Jean-Pierre Timbaud, Quartier de la Folie-Méricourt, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
70,Charming Studio at Bastille 11th,48.85627,2.37315,2,90,Entire Place,5,1,2,11,"Au Sens des Saveurs, Rue Sedaine, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
71,« Charlotte’s Nest «  Mon grand nid à Bastille :-),48.85516,2.37446,2,90,Entire Place,5,1,2,11,"Standard Design, Rue de la Roquette, Quartier de la Roquette, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
72,Cozy flat in the Marais,48.85722,2.35905,2,90,Entire Place,5,1,2,4,"Florence Kahn, 24, Rue des Écouffes, Quartier Saint-Gervais, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France"
73,Duplex de charme au cœur du marais,48.85214,2.36421,2,90,Entire Place,5,1,2,4,"Laforêt, Boulevard Henri IV, Quartier de l'Arsenal, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France"
74,Feel parisian in Le Marais / Center,48.85883,2.35547,2,90,Entire Place,5,1,2,4,"23, Rue des Archives, Quartier Saint-Merri, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine, 75004, France"
75,Cute studio located in the heart of Paris,48.86643,2.35188,2,90,Entire Place,5,2,2,2,"76, Rue Réaumur, Quartier du Mail, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France"
76,Design Loft In Central Paris,48.86855,2.34805,2,90,Entire Place,5,2,2,2,"Vietnam in Paris, Rue de Cléry, Quartier de Bonne-Nouvelle, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, France"
77,Studio-atelier au jardin des Tuileries.,48.86464,2.33249,2,90,Entire Place,5,2,2,1,"Olden, Rue Saint-Honoré, Quartier du Palais Royal, Paris 1er Arrondissement, Paris, Île-de-France, France métropolitaine, 75001, France"
78,Charming studio in the middle of paris,48.87181,2.3574,2,90,Entire Place,5,2,2,10,"Mairie du 10e arrondissement, Rue du Faubourg Saint-Martin, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
79,Lovely typical parisian apartment,48.87062,2.35882,2,90,Entire Place,5,2,2,10,"12, Cité Riverin, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
81,Quiet sunny 1BR by the Louvre,48.86542,2.33901,2,90,Entire Place,5,2,2,1,"38, Rue de Valois, Quartier du Palais Royal, Paris 1er Arrondissement, Paris, Île-de-France, France métropolitaine, 75001, France"
82,Studio AppartHotel - Paris Parc des expos,48.83152,2.28218,2,90,Entire Place,5,3,2,15,"Technicolor, Rue d'Oradour-sur-Glane, Quartier Saint-Lambert, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France"
83,"Charmant 2 pièces de 50m2, Paris Centre - 15eme",48.83743,2.28849,2,90,Entire Place,5,3,2,15,"Théo Théâtre, Rue Théodore Deck, Quartier Saint-Lambert, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France"
84,Studio - Clodomir Tour Eiffel,48.84351,2.29357,2,90,Entire Place,5,3,2,15,"A2D8T2, Rue Mademoiselle, Quartier de Grenelle, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France"
85,Amazing in Paris center,48.82466,2.35412,2,90,Entire Place,5,5,2,13,"88, Rue du Moulin des Prés, Quartier de la Maison-Blanche, Paris 13e Arrondissement, Paris, Île-de-France, France métropolitaine, 75013, France"
86,"Mobility lease in the heart of ""Butte-aux-Cailles""",48.82955,2.35087,2,90,Entire Place,5,5,2,14,"45, Boulevard Auguste Blanqui, Quartier du Montparnasse, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France"
87,Opera Vendome Capucines 1,48.87116,2.33136,2,90,Entire Place,5,7,2,9,"Pharmacie de l'Opéra, Rue Auber, Quartier de la Chaussée-d'Antin, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
88,Galleries Lafayette and Opera design studio flat,48.87666,2.3314,2,90,Entire Place,5,7,2,9,"Place d'Estienne d'Orves, Quartier de la Chaussée-d'Antin, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
89,"Studio cosy, calme, zen & lumineux • Montmartre",48.88193,2.33384,2,90,Entire Place,5,7,2,9,"23, Rue Pierre Fontaine, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
90,South Pigalle lovely studio beneath the eaves,48.88059,2.33243,2,90,Entire Place,5,7,2,9,"5, Rue Paul Escudier, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
92,Havre de paix au coeur de Paris,48.88034,2.29527,2,80,Entire Place,5,0,2,17,"DESCHAMPS, 18, Avenue Niel, Quartier des Ternes, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France"
93,Studio à montparnasse,48.83982,2.32375,2,80,Entire Place,5,9,2,14,"25, Rue de la Gaîté, Quartier du Montparnasse, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France"
94,"Deux-pièces charmant, clair et calme!",48.84046,2.30638,2,80,Entire Place,5,9,2,15,"7, Rue Bargue, Quartier Necker, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France"
95,Studio in Central Paris with balcony & great view,48.84186,2.30532,2,80,Entire Place,5,9,2,15,"L'Oiseau Lunaire, Rue Blomet, Quartier Necker, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France"
96,Superbe studio à Vavin/Montparnasse,48.8396,2.32866,2,80,Entire Place,5,9,2,14,"Avenue du Boulevard, Quartier du Montparnasse, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France"
97,Beautiful apartment in Saint-Germain-des-Près,48.84782,2.31951,2,80,Entire Place,5,9,2,6,"La Banque Postale, Rue Saint-Jean-Baptiste de la Salle, Quartier Notre-Dame-des-Champs, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France"
98,Beautiful apartment with terrace - BRAND NEW,48.83542,2.41255,2,80,Entire Place,5,10,2,12,"16, Boulevard de la Guyane, Quartier du Bel-Air, Paris 12e Arrondissement, Paris, Île-de-France, France métropolitaine, 75012, France"
99,BRIGHT & QUIET FLAT - GARE DU NORD,48.884,2.361,2,80,Entire Place,5,11,2,10,"Atlanta Travels & Tours, Rue Perdonnet, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
100,Studio très spacieux et calme sur jardin à Paris,48.87439,2.37182,2,80,Entire Place,5,11,2,10,"19, Rue Jean et Marie Moinon, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
101,Cosy 30m2 appartement - Heart of 11th,48.86717,2.38108,2,80,Entire Place,5,11,2,11,"Résidence Les Courtilles, Rue Oberkampf, Quartier Saint-Ambroise, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
102,Trendy Studio @ Canal St Martin,48.87252,2.3626,2,80,Entire Place,5,11,2,10,"École maternelle Legouvé, Rue Legouvé, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
103,CHARMING NEAR CANAL ST.MARTIN,48.8723,2.36556,2,80,Entire Place,5,11,2,10,"3, Avenue Richerand, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
104,Chaleureux 2 pièces au coeur de Belleville,48.87362,2.37937,2,80,Entire Place,5,11,2,19,"École maternelle Rampal, Allée Gabrielle d'Estrées, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France"
105,Nice Apt with balcony in Parmentier,48.865,2.375,2,80,Entire Place,5,11,2,11,"Optic 2000, 50-52, Avenue de la République, Quartier de la Folie-Méricourt, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
106,Charmant 2 pièces au coeur de Paris,48.86817,2.36421,2,80,Entire Place,5,11,2,10,"Caserne Vérines, Place de la République, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
107,Typical parisian appartment (Buttes-Chaumont park),48.875,2.382,2,80,Entire Place,5,11,2,19,"Galerie Bugada & Cargnel, Rue de l'Équerre, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France"
108,Cabane sous les toits,48.87634,2.36802,2,80,Entire Place,5,11,2,10,"Maison Coêt, Rue des Écluses Saint-Martin, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
109,"Studio 33m2,clair,Canal St Martin BAIL MOBILITE",48.87336,2.36033,2,80,Entire Place,5,11,2,10,"Passage Dubail, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
110,"Appartement calme, lumineux avec terrasse",48.87242,2.3817,2,80,Entire Place,5,11,2,20,"2, Cour Lesage, Quartier de Belleville, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
111,Petite bulle de sérénité à deux pas de République,48.87324,2.36579,2,80,Entire Place,5,11,2,10,"Hôpital Saint-Louis, Passerelle Richerand, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
112,Charming & quiet studio ?  Paris X - Belleville,48.87156,2.37755,2,80,Entire Place,5,11,2,20,"École élémentaire de Belleville (école A), Boulevard de Belleville, Quartier de Belleville, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
113,Quiet APT 2Rooms +Big Kitchen @Canal Saint Martin,48.87185,2.36844,2,80,Entire Place,5,11,2,10,"24, Rue Alibert, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
114,Joli studio cosy 10ème proche Canal Saint Martin,48.8718,2.37219,2,80,Entire Place,5,11,2,10,"Buisson Saint-Louis - Saint-Maur, Rue du Buisson Saint-Louis, Quartier de l'Hôpital Saint-Louis, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
115,"Light-filled, rare & spacious 80 m2",48.88542,2.36097,2,80,Entire Place,5,11,2,18,"Toits & Joie, Rue Pajol, Quartier de la Chapelle, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
116,Dans les pas de Paul Éluard,48.8861,2.35999,2,80,Entire Place,5,11,2,18,"Sabbah Orientale, 22, Rue Marx Dormoy, Quartier de la Chapelle, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
117,Studio en plein coeur de Montmartre,48.88783,2.33687,2,80,Entire Place,5,12,2,18,"10, Avenue Junot, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
118,"Appartement cosy, Paris 18",48.89382,2.36074,2,80,Entire Place,5,12,2,18,"École élémentaire Maurice Genevoix, Rue Maurice Genevoix, Quartier de la Chapelle, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
119,Charming bohemian studio apartment,48.87876,2.34136,2,80,Entire Place,5,12,2,9,"26, Rue Milton, Quartier de Rochechouart, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
120,tres beau studio à trés bon PRIX,48.87826,2.33771,2,80,Entire Place,5,12,2,9,"Saint-Georges, Rue Notre-Dame-de-Lorette, Quartier Saint-Georges, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
121,Superbe studio et ses deux terrasses,48.8826,2.33545,2,80,Entire Place,5,12,2,9,"Sex Shop, 33 bis, Boulevard de Clichy, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France"
122,Appartement de charme près de Montmartre,48.89498,2.3423,2,80,Entire Place,5,12,2,18,"12, Rue Émile Blémont, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
123,In the heart of Monmartre,48.88732,2.33759,2,80,Entire Place,5,12,2,18,"Moulin de la Galette, Rue Lepic, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
124,Appartement de charme dans le 18ème arrondissement,48.893,2.35,2,80,Entire Place,5,12,2,18,"35, Rue du Nord, Quartier de Clignancourt, Paris 18e Arrondissement, Paris, Île-de-France, France métropolitaine, 75018, France"
125,Modern and Cozy apartment with a balcony,48.87859,2.39033,2,80,Entire Place,5,13,2,19,"25-29, Rue de Crimée, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France"
